id,name,gender,eye color,race,hair color,publisher,alignment
0,A-Bomb,Male,yellow,Human,No Hair,Marvel Comics,good
1,Abe Sapien,Male,blue,Icthyo Sapien,No Hair,Dark Horse Comics,good
2,Abin Sur,Male,blue,Ungaran,No Hair,DC Comics,good
3,Abomination,Male,green,Human / Radiation,No Hair,Marvel Comics,bad
4,Abraxas,Male,blue,Cosmic Entity,Black,Marvel Comics,bad
5,Absorbing Man,Male,blue,Human,No Hair,Marvel Comics,bad
6,Adam Monroe,Male,blue,-,Blond,NBC - Heroes,good
7,Adam Strange,Male,blue,Human,Blond,DC Comics,good
8,Agent 13,Female,blue,-,Blond,Marvel Comics,good
9,Agent Bob,Male,brown,Human,Brown,Marvel Comics,good
10,Agent Zero,Male,-,-,-,Marvel Comics,good
11,Air-Walker,Male,blue,-,White,Marvel Comics,bad
12,Ajax,Male,brown,Cyborg,Black,Marvel Comics,bad
13,Alan Scott,Male,blue,-,Blond,DC Comics,good
14,Alex Mercer,Male,-,Human,-,Wildstorm,bad
15,Alex Woolsly,Male,-,-,-,NBC - Heroes,good
16,Alfred Pennyworth,Male,blue,Human,Black,DC Comics,good
17,Alien,Male,-,Xenomorph XX121,No Hair,Dark Horse Comics,bad
18,Allan Quatermain,Male,-,-,-,Wildstorm,good
19,Amazo,Male,red,Android,-,DC Comics,bad
20,Ammo,Male,brown,Human,Black,Marvel Comics,bad
21,Ando Masahashi,Male,-,-,-,NBC - Heroes,good
22,Angel,Male,blue,-,Blond,Marvel Comics,good
23,Angel,Male,-,Vampire,-,Dark Horse Comics,good
24,Angel Dust,Female,yellow,Mutant,Black,Marvel Comics,good
25,Angel Salvadore,Female,brown,-,Black,Marvel Comics,good
26,Angela,Female,-,-,-,Image Comics,bad
27,Animal Man,Male,blue,Human,Blond,DC Comics,good
28,Annihilus,Male,green,-,No Hair,Marvel Comics,bad
29,Ant-Man,Male,blue,Human,Blond,Marvel Comics,good
30,Ant-Man II,Male,blue,Human,Blond,Marvel Comics,good
31,Anti-Monitor,Male,yellow,God / Eternal,No Hair,DC Comics,bad
32,Anti-Spawn,Male,-,-,-,Image Comics,bad
33,Anti-Venom,Male,blue,Symbiote,Blond,Marvel Comics,-
34,Apocalypse,Male,red,Mutant,Black,Marvel Comics,bad
35,Aquababy,Male,blue,-,Blond,DC Comics,good
36,Aqualad,Male,blue,Atlantean,Black,DC Comics,good
37,Aquaman,Male,blue,Atlantean,Blond,DC Comics,good
38,Arachne,Female,blue,Human,Blond,Marvel Comics,good
39,Archangel,Male,blue,Mutant,Blond,Marvel Comics,good
40,Arclight,Female,violet,-,Purple,Marvel Comics,bad
41,Ardina,Female,white,Alien,Orange,Marvel Comics,good
42,Ares,Male,brown,-,Brown,Marvel Comics,good
43,Ariel,Female,purple,-,Pink,Marvel Comics,good
44,Armor,Female,black,-,Black,Marvel Comics,good
45,Arsenal,Male,-,Human,-,DC Comics,good
46,Astro Boy,Male,brown,-,Black,-,good
47,Atlas,Male,brown,Mutant,Red,Marvel Comics,good
48,Atlas,Male,blue,God / Eternal,Brown,DC Comics,bad
49,Atom,Male,blue,-,Red,DC Comics,good
50,Atom,Male,-,-,-,DC Comics,good
51,Atom Girl,Female,black,-,Black,DC Comics,good
52,Atom II,Male,brown,Human,Auburn,DC Comics,good
53,Atom III,Male,-,-,Red,DC Comics,good
54,Atom IV,Male,brown,-,Black,DC Comics,good
55,Aurora,Female,blue,Mutant,Black,Marvel Comics,good
56,Azazel,Male,yellow,Neyaphem,Black,Marvel Comics,bad
57,Azrael,Male,brown,Human,Black,DC Comics,good
58,Aztar,Male,-,-,-,DC Comics,good
59,Bane,Male,-,Human,-,DC Comics,bad
60,Banshee,Male,green,Human,Strawberry Blond,Marvel Comics,good
61,Bantam,Male,brown,-,Black,Marvel Comics,good
62,Batgirl,Female,-,-,-,DC Comics,good
63,Batgirl,Female,green,Human,Red,DC Comics,good
64,Batgirl III,Female,-,-,-,DC Comics,good
65,Batgirl IV,Female,green,Human,Black,DC Comics,good
66,Batgirl V,Female,-,-,-,DC Comics,good
67,Batgirl VI,Female,blue,-,Blond,DC Comics,good
68,Batman,Male,blue,Human,black,DC Comics,good
69,Batman,Male,blue,Human,Black,DC Comics,good
70,Batman II,Male,blue,Human,Black,DC Comics,good
71,Battlestar,Male,brown,-,Black,Marvel Comics,good
72,Batwoman V,Female,green,Human,Red,DC Comics,good
73,Beak,Male,black,-,White,Marvel Comics,good
74,Beast,Male,blue,Mutant,Blue,Marvel Comics,good
75,Beast Boy,Male,green,Human,Green,DC Comics,good
76,Beetle,Male,-,-,-,Marvel Comics,bad
77,Ben 10,Male,-,-,-,DC Comics,good
78,Beta Ray Bill,Male,-,-,No Hair,Marvel Comics,good
79,Beyonder,Male,-,God / Eternal,-,Marvel Comics,good
80,Big Barda,Female,blue,New God,Black,DC Comics,bad
81,Big Daddy,Male,-,-,-,Icon Comics,good
82,Big Man,Male,blue,-,Brown,Marvel Comics,bad
83,Bill Harken,Male,-,Alpha,-,SyFy,good
84,Billy Kincaid,Male,-,-,-,Image Comics,bad
85,Binary,Female,blue,-,Blond,Marvel Comics,good
86,Bionic Woman,Female,blue,Cyborg,Black,-,good
87,Bird-Brain,-,-,-,-,Marvel Comics,good
88,Bird-Man,Male,-,Human,-,Marvel Comics,bad
89,Bird-Man II,Male,-,Human,-,Marvel Comics,bad
90,Birdman,Male,-,God / Eternal,-,Hanna-Barbera,good
91,Bishop,Male,brown,Mutant,No Hair,Marvel Comics,good
92,Bizarro,Male,black,Bizarro,Black,DC Comics,neutral
93,Black Abbott,Male,red,-,Black,Marvel Comics,bad
94,Black Adam,Male,brown,-,Black,DC Comics,bad
95,Black Bolt,Male,blue,Inhuman,Black,Marvel Comics,good
96,Black Canary,Female,blue,Human,Blond,DC Comics,good
97,Black Canary,Female,blue,Metahuman,Blond,DC Comics,good
98,Black Cat,Female,green,Human,Blond,Marvel Comics,good
99,Black Flash,Male,-,God / Eternal,-,DC Comics,neutral
100,Black Goliath,Male,-,-,-,Marvel Comics,good
101,Black Knight III,Male,brown,Human,Brown,Marvel Comics,good
102,Black Lightning,Male,brown,-,No Hair,DC Comics,good
103,Black Mamba,Female,green,-,Black,Marvel Comics,bad
104,Black Manta,Male,black,Human,No Hair,DC Comics,bad
105,Black Panther,Male,brown,Human,Black,Marvel Comics,good
106,Black Widow,Female,green,Human,Auburn,Marvel Comics,good
107,Black Widow II,Female,blue,-,Blond,Marvel Comics,good
108,Blackout,Male,red,Demon,White,Marvel Comics,bad
109,Blackwing,Male,blue,-,Black,Marvel Comics,bad
110,Blackwulf,Male,red,Alien,White,Marvel Comics,-
111,Blade,Male,brown,Vampire,Black,Marvel Comics,good
112,Blaquesmith,-,black,-,No Hair,Marvel Comics,good
113,Bling!,Female,-,-,-,Marvel Comics,good
114,Blink,Female,green,Mutant,Magenta,Marvel Comics,good
115,Blizzard,Male,-,-,-,Marvel Comics,bad
116,Blizzard,Male,-,-,Brown,Marvel Comics,bad
117,Blizzard II,Male,brown,-,Brown,Marvel Comics,bad
118,Blob,Male,brown,-,Brown,Marvel Comics,bad
119,Bloodaxe,Female,blue,Human,Brown,Marvel Comics,bad
120,Bloodhawk,Male,black,Mutant,No Hair,Marvel Comics,good
121,Bloodwraith,Male,white,-,No Hair,Marvel Comics,bad
122,Blue Beetle,Male,blue,-,Brown,DC Comics,good
123,Blue Beetle,Male,-,-,-,DC Comics,good
124,Blue Beetle II,Male,blue,-,Brown,DC Comics,good
125,Blue Beetle III,Male,brown,Human,Black,DC Comics,good
126,Boba Fett,Male,brown,Human / Clone,Black,George Lucas,bad
127,Bolt,Male,-,-,-,Marvel Comics,good
128,Bomb Queen,Female,-,-,-,Image Comics,bad
129,Boom-Boom,Female,blue,Mutant,Blond,Marvel Comics,good
130,Boomer,Female,-,-,-,Marvel Comics,good
131,Booster Gold,Male,blue,Human,Blond,DC Comics,good
132,Box,Male,-,-,-,Marvel Comics,good
133,Box III,-,blue,-,Blond,Marvel Comics,good
134,Box IV,-,brown,-,Brown / Black,Marvel Comics,good
135,Brainiac,Male,green,Android,No Hair,DC Comics,bad
136,Brainiac 5,Male,green,-,Blond,DC Comics,good
137,Brother Voodoo,Male,brown,Human,Brown / White,Marvel Comics,good
138,Brundlefly,Male,-,Mutant,-,-,-
