id,name,Gender,Eye color,Race,Hair color,Publisher,Alignment
246,Evil Deadpool,Male,white,Mutant,Red,Marvel Comics,bad
247,Evilhawk,Male,red,Alien,Black,Marvel Comics,bad
248,Exodus,Male,blue,Mutant,Black,Marvel Comics,bad
249,Fabian Cortez,-,blue,-,Brown,Marvel Comics,bad
250,Falcon,Male,brown,Human,Black,Marvel Comics,good
251,Fallen One II,Male,black,-,Blue,Marvel Comics,bad
252,Faora,Female,-,Kryptonian,-,DC Comics,bad
253,Feral,-,yellow (without irises),-,Orange / White,Marvel Comics,good
254,Fighting Spirit,Female,-,-,Red,DC Comics,good
255,Fin Fang Foom,Male,red,Kakarantharaian,No Hair,Marvel Comics,good
256,Firebird,Female,brown,-,Black,Marvel Comics,good
257,Firelord,-,white,-,Yellow,Marvel Comics,good
258,Firestar,Female,green,Mutant,Red,Marvel Comics,good
259,Firestorm,Male,brown,-,Black,DC Comics,good
260,Firestorm,Male,blue,Human,Auburn,DC Comics,good
261,Fixer,-,red,-,No Hair,Marvel Comics,bad
262,Flash,Male,blue,Human,Brown / White,DC Comics,good
263,Flash Gordon,Male,-,-,-,-,good
264,Flash II,Male,blue,Human,Blond,DC Comics,good
265,Flash III,Male,-,Human,-,DC Comics,good
266,Flash IV,Male,yellow,Human,Auburn,DC Comics,good
267,Forge,-,brown,-,Black,Marvel Comics,good
268,Franklin Richards,Male,blue,Mutant,Blond,Marvel Comics,good
269,Franklin Storm,-,blue,-,Grey,Marvel Comics,good
270,Frenzy,Female,brown,-,Black,Marvel Comics,bad
271,Frigga,Female,blue,-,White,Marvel Comics,good
272,Galactus,Male,black,Cosmic Entity,Black,Marvel Comics,neutral
273,Gambit,Male,red,Mutant,Brown,Marvel Comics,good
274,Gamora,Female,yellow,Zen-Whoberian,Black,Marvel Comics,good
275,Garbage Man,Male,-,Mutant,-,DC Comics,good
276,Gary Bell,Male,-,Alpha,-,SyFy,good
277,General Zod,Male,black,Kryptonian,Black,DC Comics,bad
278,Genesis,Male,blue,-,Blond,Marvel Comics,good
279,Ghost Rider,Male,red,Demon,No Hair,Marvel Comics,good
